street,type,district
Самбірський,провулок,Голосіївський
Санаторна,вулиця,Дарницький
Санітарна,вулиця,Голосіївський
Сантьяго-де-Чилі,площа,Оболонський
Саперне Поле,вулиця,Печерський
Саперно-Слобідська,вулиця,Голосіївський
Саперно-Слобідський,проїзд,Голосіївський
Саратовська,вулиця,Шевченківський
Сарматський,провулок,Солом’янський
Сваромська,вулиця,Оболонський
Свєтлова Михайла,вулиця,Святошинський
Світла,вулиця,Дарницький
Світлицького,вулиця,Подільський
Світличного Івана,вулиця,Солом'янський
Світлогірська,вулиця,Солом'янський
Свободи,проспект,Подільський
Святищенська,вулиця,Дарницький
Святкова,вулиця,Солом'янський
Свято-Георгіївська,вулиця,Деснянський
Святоджерельна,вулиця,Голосіївський
Святослава Ріхтера,вулиця,Голосіївський
Святославська,вулиця,Солом'янський
Свято-Троїцька ,вулиця,Деснянський
Святошинська,вулиця,Святошинський
Святошинська,площа,Святошинський
Святошинський,провулок,Святошинський
Севастопольська,вулиця,Дарницький
Севастопольська,площа,Солом'янський
Северина Наливайка,вулиця,Подільський
Северинівська,вулиця,Святошинський
Селекціонерів,вулиця,Голосіївський
Селянська,вулиця,Оболонський
Семафорна,вулиця,Дніпровський
Семашка,вулиця,Святошинський
Семенівська,вулиця,Солом'янський
Сеноманська,вулиця,Дніпровський
Сеноманський,провулок,Дніпровський
Сергієнка Івана,вулиця,Дніпровський
Сергія Висоцького,вулиця,Солом’янський
Сергія Набоки,площа,Дніпровський
Сергія Остапенка,вулиця,Голосіївський
Сергія Шелухіна,вулиця,Голосіївський
Сергія Шишка,вулиця,Солом’янський
Сержа Лифаря,вулиця,Деснянський
Серпнева,вулиця,Голосіївський
Серпова,вулиця,Святошинський
Серпуховський,провулок,Голосіївський
Сетомльська,вулиця,Оболонський
Сєдова,вулиця,Деснянський
Сєдовців,провулок,Печерський
Сєркова Академіка,вулиця,Святошинський
Сєрова Валентина,вулиця,Дніпровський
Сєченова,вулиця,Голосіївський
Сиваська,вулиця,Дніпровський
Сигнальна,вулиця,Солом'янський
Силікатна,вулиця,Дніпровський
Сильвестра Косова,вулиця,Солом'янський
Симиренка,вулиця,Святошинський
Симоненка Василя,вулиця,Голосіївський
Синьоозерна,вулиця,"Подільський, Святошинський"
Синьоозерна 1,вулиця,Подільський
Синьоозерна 2,вулиця,Подільський
Синьоозерна 3,вулиця,Подільський
Синьоозерна 4-та,вулиця,Подільський
Синьоозерна 5-та,вулиця,Подільський
Сирецька,вулиця,"Оболонський, Подільський, Шевченківський"
Сирецький ,проїзд,Подільський
Сирецько-Садова,вулиця,Подільський
Ситняківська,вулиця,Святошинський
Ситняківська,вулиця,Деснянський
Сікорського Ігоря Авіаконструктора,вулиця,Шевченківський
Сільська,вулиця,Святошинський
Сільськогосподарський,провулок,Голосіївський
Сім'ї Ідзиковських,вулиця,Солом'янський
Сім'ї Кульженків,вулиця,Оболонський
Сім'ї Прахових,вулиця,Голосіївський
Сім'ї Стешенків,вулиця,Святошинський
Сім'ї Ханенків,вулиця,Деснянський
Сім'ї Холодних,вулиця,Голосіївський
Сім'ї Шовкоплясів,вулиця,Оболонський
Сімферопольська,вулиця,Дарницький
Сірка Івана,вулиця,Голосіївський
Січнева,вулиця,Голосіївський
Січових Стрільців,вулиця,Шевченківський
Сквирська,вулиця,Голосіївський
Сквирський,провулок,Голосіївський
Скіфська,вулиця,Солом'янський
Скляренка Семена,вулиця,Оболонський
Сковороди Григорія,вулиця,Подільський
Скоропадського Павла,вулиця,Печерський
Славгородська,вулиця,Дарницький
Славгородський,провулок,Дарницький
Слави,площа,Печерський
Славська,вулиця,Деснянський
Сливова,вулиця,Дарницький
Слобідський,провулок,Дніпровський
Словечанська,вулиця,Солом'янський
Слов'янська,вулиця,Солом'янський
Слюсарний,провулок,Дніпровський
Смерекова,вулиця,Солом'янський
Смілянська,вулиця,Солом'янський
Смоленська,вулиця,Солом'янський
Смолича Юрія,вулиця,"Голосіївський, Солом'янський"
Смольна,вулиця,Голосіївський
Смородинова,вулиця,Подільський
Смородинський,узвіз,Шевченківський
Снайперська,вулиця,Голосіївський
Сніжнянський,провулок,Печерський
Сновська,вулиця,Дніпровський
Сновський,провулок,Дніпровський
Соборна,вулиця,Дарницький
Соборності,проспект,Дніпровський
Сови Андрія,вулиця,Деснянський
Совки радгосп,вулиця,Солом'янський
Совська,вулиця,Солом'янський
Совхозна,вулиця,Оболонський
Сокальська,вулиця,Оболонський
Солов'їна,вулиця,Голосіївський
Соловцова Миколи,вулиця,Печерський
Солодкий,провулок,Дарницький
Соломії Павличко,вулиця,Голосіївський
Солом'янська,вулиця,Солом'янський
Солом'янська,площа,Солом'янський
Соляна,вулиця,Шевченківський
Сонячна,вулиця,Шевченківський
Сонячна,вулиця,Дніпровський
Сормовська,вулиця,Дарницький
Сорочинська,вулиця,Печерський
Сортувальна,вулиця,Дарницький
Сосницька,вулиця,Дніпровський
Сосніних Сім'ї,вулиця,Святошинський
Соснова,вулиця,Святошинський
Соснова,вулиця,Святошинський
Соснова,вулиця,Дарницький
Соснова,вулиця,Деснянський
Сосновий,провулок,Деснянський
Сосновий 2,провулок,Деснянський
Сосюри Володимира,вулиця,Дніпровський
Софіївська,вулиця,Шевченківський
Софійська,площа,Шевченківський
Софронівський,провулок,Печерський
Сошенка,вулиця,Подільський
Спартаківська,вулиця,Святошинський
Спаська,вулиця,Подільський
Співака Михайла,площа,Голосіївський
Спортивна,площа,Печерський
Спортивна ,вулиця,Дніпровський
Справедливості,вулиця,Деснянський
Срібнокільська,вулиця,Дарницький
Ставкова,вулиця,Голосіївський
Ставропольська,вулиця,Шевченківський
Ставропольський,провулок,Шевченківський
Стадіонна,вулиця,Солом'янський
Стадіонна,вулиця,Солом'янський
Стадіонний,провулок,Солом'янський
Стальського Сулеймана,вулиця,Дніпровський
Станіславського,вулиця,Печерський
Станюковича,вулиця,Дніпровський
Стара Поляна,вулиця,Шевченківський
Старицького,вулиця,Подільський
Старицького,провулок,Подільський
Старицької-Черняхівської,вулиця,Святошинський
Старобориспільська,вулиця,Дарницький
Старовокзальна,вулиця,Шевченківський
Старожитомирський,провулок,Шевченківський
Старо-Київська,вулиця,Шевченківський
Старокиївський,провулок,Шевченківський
Старонаводницька,вулиця,Печерський
Старообухівська,вулиця,Голосіївський
Старосільська,вулиця,Дніпровський
Старосільська,вулиця,Деснянський
Старосільський,провулок,Дніпровський
Старосільський,провулок,Деснянський
Стельмаха Михайла,вулиця,Голосіївський
Степана Бандери,проспект,"Оболонський, Подільський"
Степана Витвицького,вулиця,Деснянський
Степана Ерастова,провулок,Солом'янський
Степанченка Василя,вулиця,Святошинський
Степовий,провулок,Деснянський
Степового Якова,вулиця,Голосіївський
Стеценка,вулиця,"Подільський, Шевченківський"
Стигольська,вулиця,Деснянський
Столєтова,провулок,Голосіївський
Столєтова,вулиця,Голосіївський
Столичне,шосе,Голосіївський
Сторожова,вулиця,Подільський
Стражеска Академіка,вулиця,Солом'янський
Стратегічне,шосе,Голосіївський
Стратегічний,провулок,Голосіївський
Стратонавтів,вулиця,Святошинський
Стрийська,вулиця,Святошинський
Стрілецька,вулиця,Шевченківський
Стрілкова,вулиця,Голосіївський
Стрітенська,вулиця,Шевченківський
Студентська,вулиця,Шевченківський
Стуса Василя,вулиця,Святошинський
Суворова,вулиця,Деснянський
Суворова,вулиця,Дарницький
Суворова,провулок,Дарницький
Суздальська,вулиця,Солом'янський
Суміжна,вулиця,Дніпровський
Сумська,вулиця,"Голосіївський, Солом'янський"
Сунична (Озерна 7),вулиця,Дарницький
Сурикова,вулиця,Солом'янський
Сухенка Василя,провулок,Дніпровський
Сухомлинського Василя,вулиця,Деснянський
Сухумська,вулиця,Подільський
Східна,вулиця,Дарницький
Східна 1,вулиця,Подільський
Східна 1,вулиця,Дарницький
Східна 2,вулиця,Дарницький
Східна 3,вулиця,Дарницький
Східно-Дальній 1,провулок,Дарницький
Східно-Дальній 2,провулок,Дарницький
Східно-Дальній 3,провулок,Дарницький
Східно-Дальній 4,провулок,Дарницький
Східно-Дальній 5,провулок,Дарницький
Східно-Дальній 6,провулок,Дарницький
Східно-Дальня,вулиця,Дарницький
Табірна,вулиця,Шевченківський
Таврійська,вулиця,Подільський
Таврійський,провулок,Подільський
Таганрозька ,вулиця,Дніпровський
Таганрозький,провулок,Дніпровський
Тагільська ,вулиця,Подільський
Тагільський,провулок,Подільський
Тадея Рильського,бульвар,Голосіївський
Тальнівська,вулиця,Дарницький
Тампере,вулиця,Дніпровський
Танкістів,вулиця,Солом'янський
Таранушенка Стефана,вулиця,Деснянський
Тарасівська,вулиця,Голосіївський
Тарасової Алли,вулиця,Шевченківський
Таращанська ,вулиця,Святошинський
Таращанський,провулок,Святошинський
Татарська,вулиця,Шевченківський
Татарський,провулок,Шевченківський
Ташкентська,вулиця,Дарницький
Тбіліський ,провулок,Шевченківський
Тверський,тупик,Печерський
Творча,вулиця,Голосіївський
Театральна,площа,Шевченківський
Телеграфний,провулок,Печерський
Теліги Олени,вулиця,"Подільський, Шевченківський"
Теплична,вулиця,Святошинський
Тепловозна ,вулиця,Дарницький
Теремківська,вулиця,Голосіївський
Теремківський,провулок,Солом'янський
Терешкової Валентини 2,провулок,Дарницький
Терещенка Миколи,вулиця,Святошинський
Терещенківська ,вулиця,Шевченківський
Тернопільська,вулиця,Святошинський
Терьохіна Олексія,вулиця,Подільський
Теслярська,вулиця,Голосіївський
Тешебаєва,вулиця,Шевченківський
Тимірязєвська,вулиця,Печерський
Тимірязєвський,провулок,Печерський
Тимошенка Маршала,вулиця,Оболонський
Тираспольська,вулиця,Подільський
Тиха ,вулиця,Печерський
Тихвінський,провулок,Голосіївський
Тихонівський,провулок,Голосіївський
Тихорецька,вулиця,Голосіївський
Тихорецький,провулок,Голосіївський
Тичини Павла,проспект,Дніпровський
Тобольський,провулок,Голосіївський
Товарна,вулиця,Печерський
Тодося Осьмачки,вулиця,Деснянський
Толбухіна,вулиця,Шевченківський
Толбухіна,провулок,Шевченківський
Толочанська,вулиця,Деснянський
Толстого,провулок,Дарницький
Толстого Льва,вулиця,"Шевченківський, Солом'янський, Голосіївський"
Толстого Льва,площа,Шевченківський
Толстого Льва,вулиця,Дарницький
Томашевська,вулиця,Деснянський
Томашпільська,вулиця,Дарницький
Тополева ,вулиця,Солом'янський
Тороповського Георгія,вулиця,Дніпровський
Травнева,вулиця,Солом'янський
Травнева,вулиця,Дніпровський
Травневий,провулок,Солом'янський
Трактористів,вулиця,Дніпровський
Траншейна,вулиця,Солом'янський
Трахтемирівська,вулиця,Голосіївський
Третя,вулиця,Оболонський
Трипільська,вулиця,Дарницький
Троїцька,площа,Печерський
Тропініна,провулок,Шевченківський
Тропініна,вулиця,Шевченківський
Тростянецька ,вулиця,Дарницький
Трояндова,вулиця,Дарницький
Трояндова,вулиця,Солом'янський
Трублаїні ,вулиця,Святошинський
Трудова ,вулиця,Шевченківський
Трускавецька,вулиця,Дарницький
Труханівська,вулиця,Дніпровський
Трьохсвятительська,вулиця,Шевченківський
Тулузи,вулиця,Святошинський
Тульська,площа,Оболонський
Тульський,провулок,Голосіївський
Тульчинська,вулиця,Подільський
Туманяна Ованеса,вулиця,Дніпровський
Тупиковий 1,провулок,Дарницький
Тупиковий 2,провулок,Дарницький
Тупиковий 3,провулок,Дарницький
Тупікова Генерала,вулиця,Солом'янський
Туполєва Академіка,вулиця,"Святошинський, Шевченківський"
Тургенєва,вулиця,Деснянський
Тургенєва,провулок,Дарницький
Тургенєва Івана,вулиця,Дарницький
Тургенєвська,вулиця,Шевченківський
Турівська,вулиця,Подільський
Турчина Ігоря,вулиця,Шевченківський
Тутковського Академіка,вулиця,Солом'янський
Ужвій Наталії,вулиця,Подільський
Ужгородська,вулиця,Голосіївський
Ужгородський,провулок,Голосіївський
Узинська,вулиця,Святошинський
Українська,вулиця,Шевченківський
Улітіна Івана,вулиця,Святошинський
Уманська,вулиця,Солом'янський
Університетська,вулиця,Солом'янський
Уральська,вулиця,Голосіївський
Уральський,провулок,Голосіївський
Урлівська,вулиця,Дарницький
Урожайна,вулиця,Дарницький
Усенка Павла,вулиця,Дніпровський
Успішна,вулиця,Голосіївський
Уссурійська,вулиця,Шевченківський
Уссурійський,провулок,Шевченківський
Устинівський,провулок,Солом'янський
Учбова,вулиця,Голосіївський
Учбовий,провулок,Голосіївський
Учительський,провулок,Солом'янський
Ушакова Адмірала,вулиця,Голосіївський
Ушакова Миколи,вулиця,Святошинський
Ушинського,провулок,Солом'янський
Ушинського,вулиця,Солом'янський
Ушицька,вулиця,Деснянський
Фанерна,вулиця,Дніпровський
Фанерний,провулок,Дніпровський
Фастівська,вулиця,Солом'янський
Федора Андерса,вулиця,Солом’янський
Федорова Івана,вулиця,"Голосіївський, Печерський, Солом'янський"
Федосєєва,вулиця,Солом'янський
Федосєєва,провулок,Солом'янський
Федьковича,вулиця,Солом'янський
Федьковича,провулок,Солом'янський
Феодосійська,вулиця,Голосіївський
Феодосійський,провулок,Голосіївський
Феодосія Печерського,вулиця,Голосіївський
Феофанівський,провулок,Голосіївський
Фестивальна,вулиця,Голосіївський
Фіалкова,вулиця,Голосіївський
Фізкультури,вулиця,"Голосіївський, Печерський"
Фізкультури,провулок,Голосіївський
Філатова Академіка,вулиця,Печерський
Філатова Академіка,провулок,Печерський
Фісташкова,вулиця,Дарницький
Флоренції,вулиця,Дніпровський
Франка Івана,вулиця,Шевченківський
Франка Івана,площа,Печерський
Франка Івана,вулиця,Дарницький
Франка Івана,провулок,Дарницький
Франка Івана 1,провулок,Дарницький
Франка Івана 2,провулок,Дарницький
Франка Івана 3,провулок,Дарницький
Франка Івана 4,провулок,Дарницький
Фролівська,вулиця,Подільський
Фролівський,провулок,Подільський
Фрометівська,вулиця,Голосіївський
Фрометівський,узвіз,Голосіївський
Фруктова,вулиця,Подільський
Фузиків,провулок,Шевченківський
Фучика Юліуса,вулиця,Солом'янський
Харківська,площа,Дарницький
Харківське,шосе,"Дніпровський, Дарницький"
Харківський ,провулок,Дарницький
Харченка Євгена,вулиця,Дарницький
Хвойки Вікентія,вулиця,"Подільський, Оболонський"
Хвойна,вулиця,Дарницький
Хлібний,провулок,Дарницький
Хмельницька,вулиця,Святошинський
Хмельницького Богдана,вулиця,Шевченківський
Хмельницького Богдана,вулиця,Деснянський
Холмогорська,вулиця,Голосіївський
Холмогорський,провулок,Голосіївський
Хомова Ярослава,провулок,Солом'янський
Хорива,провулок,Подільський
Хорива,вулиця,Подільський
Хорольська,вулиця,Дніпровський
Хорольський,провулок,Дніпровський
Хортицька,вулиця,Голосіївський
Хортицький,провулок,Голосіївський
Хотинська,вулиця,Подільський
Хотівська,вулиця,Голосіївський
Хоткевича Гната,провулок,"Деснянський,Дніпровський "
Хоткевича Гната,вулиця,"Деснянський,Дніпровський "
Хотянівська,вулиця,Оболонський
Хотянівська,вулиця,Деснянський
Хохлова Костянтина,вулиця,Голосіївський
Хохлових Сім'ї,вулиця,Шевченківський
Хрестовий,провулок,Печерський
Хрещатик,вулиця,"Печерський, Шевченківський"
Хутірська,вулиця,Голосіївський
Хутірський,провулок,Голосіївський
Хутоярівський,провулок,Голосіївський
Царика Григорія,вулиця,Печерський
Цвєтаєвої Марини,вулиця,Деснянський
Цегельна ,вулиця,Дніпровський
Цегельний ,провулок,Голосіївський
Центральна,вулиця,Дніпровський
Центральна,вулиця,Оболонський
Центральна,вулиця,Шевченківський
Центральна ,вулиця,Дарницький
Центральна Садова,вулиця,Дніпровський
Цеткін Клари,вулиця,Оболонський
Цимбалів Яр,провулок,Голосіївський
Цимбалів Яр,вулиця,Голосіївський
Цимлянський ,провулок,Подільський
Цитадельна,вулиця,Печерський
Цілинна,вулиця,Голосіївський
Ціолковського,вулиця,Голосіївський
Ціолковського,провулок,Голосіївський
Цукровий,провулок,Подільський
Цулукідзе,вулиця,Шевченківський
Чаадаєва Петра,вулиця,Дніпровський
Чаадаєва Петра,вулиця,Святошинський
Чабанівська,вулиця,Голосіївський
Чавдар Єлизавети,вулиця,Дарницький
Чайківська,вулиця,Святошинський
Чайкіної Лізи ,вулиця,Печерський
Чайковського,вулиця,Дарницький
Чалого Михайла,вулиця,Святошинський
Чаплигіна,провулок,Шевченківський
Чаплигіна,вулиця,Шевченківський
Челюскінців,вулиця,Дарницький
Челябінська,вулиця,Дніпровський
Червона,вулиця,Солом'янський
Червона Калина,вулиця,Дарницький
Червоний,провулок,Солом'янський
Червонозаводська,вулиця,Святошинський
Червонозаводський,провулок,Святошинський
Червонопільська ,вулиця,Подільський
Червоноткацька ,вулиця,"Деснянський,Дніпровський "
Черешневий ,провулок,Голосіївський
Черкаська,вулиця,Шевченківський
Чернишевського,вулиця,Солом'янський
Чернівецька,вулиця,Солом'янський
Чернігівська,площа,"Деснянський, Дніпровський"
Чернігівська,вулиця,Дарницький
Чернігівська,вулиця,Дніпровський
Чернігівський,провулок,Дарницький
Черняховського,вулиця,Шевченківський
Чеська,вулиця,Печерський
Четверта,вулиця,Оболонський
Чехова,вулиця,Дарницький
Чехова 1,провулок,Дарницький
Чехова 2,провулок,Дарницький
Чеховський,провулок,Шевченківський
Чигиринська,вулиця,Подільський
Чигиринський,провулок,Подільський
Чигоріна,вулиця,Печерський
Чистяківська,вулиця,Святошинський
Чистяківський,провулок,Святошинський
Чкалова,вулиця,Дарницький
Чоколівський,бульвар,Солом'янський
Чорнична (Озерна 8),вулиця,Дарницький
Чорнобильська,вулиця,Святошинський
Чорнобильський,провулок,Святошинський
Чорновола В'ячеслава,вулиця,Шевченківський
Чорногірська,вулиця,Печерський
Чорноморська,вулиця,Оболонський
Чугуївський ,провулок,Солом'янський
Чумака Василя,вулиця,Солом'янський
Чупринки Григорія,вулиця,Дніпровський
Чурилівська,вулиця,Деснянський
Шалетт Міста,вулиця,Дніпровський
Шамо Ігоря,бульвар,Дніпровський
Шахтарська,вулиця,Оболонський
Шевельова Юрія,вулиця,Дарницький
Шевченка,вулиця,Деснянський
Шевченка,вулиця,Солом'янський
Шевченка,провулок,Солом'янський
Шевченка,вулиця,Дарницький
Шевченка,провулок,Дарницький
Шевченка Тараса,бульвар,Шевченківський
Шевченка Тараса,провулок,Шевченківський
Шевченка Тараса,площа,Оболонський
Шепелєва Миколи,вулиця,Солом'янський
Шепетівська,вулиця,Святошинський
Шимановського Віталія,вулиця,Дніпровський
Широка,вулиця,Голосіївський
Шишкінський,провулок,Шевченківський
Шкільна,вулиця,Голосіївський
Шкільна,вулиця,Святошинський
Шкільна,вулиця,Солом'янський
Шкільна,вулиця,Дарницький
Шляховиків,вулиця,Дніпровський
Шляховиків,провулок,Дніпровський
Шмідта Отто,вулиця,Шевченківський
Шовковична,вулиця,Печерський
Шовкуненка,вулиця,Солом'янський
Шолом-Алейхема,вулиця,Деснянський
Шолуденка,вулиця,Шевченківський
Шоста,вулиця,Оболонський
Шпака Миколи,вулиця,Шевченківський
Шпильова,вулиця,Солом'янський
Шполянська,вулиця,Подільський
Шульгина Володимира,вулиця,Святошинський
Шульгина Якова,провулок,Святошинський
Шулявська,вулиця,Шевченківський
Шумського Юрія,вулиця,Дніпровський
Шутова Полковника,вулиця,Солом'янський
Щаслива,вулиця,Голосіївський
Щасливий,провулок,Дарницький
Щекавицька,площа,Подільський
Щекавицька,вулиця,Подільський
Щепкіна,вулиця,Дніпровський
Щербаківського Данила,вулиця,Шевченківський
Щоглівський,провулок,Голосіївський
Щусєва,вулиця,Шевченківський
Щусєва,провулок,Шевченківський
Юлаєва Салавата,вулиця,Голосіївський
Юнацька,вулиця,Святошинський
Юнацька,вулиця,Солом'янський
Юнкерова Миколи,вулиця,Оболонський
Юності,вулиця,Дніпровський
Юри Гната,вулиця,Святошинський
Юрівський,провулок,Голосіївський
Юрія Глушка,вулиця,Шевченківський
Юрія Іллєнка,вулиця,Шевченківський
Юрія Липи,вулиця,Дніпровський
Юрія Литвинського,вулиця,Дарницький
Юрія Немирича,вулиця,Голосіївський
Юрія Поправки,вулиця,Дніпровський
Юрківська,вулиця,Подільський
Юровської Ольги,вулиця,Голосіївський
Яблонської Тетяни,вулиця,Солом'янський
Яблочкова,вулиця,Подільський
Яблочкова,провулок,Подільський
Яблунева,вулиця,Солом'янський
Яблуневий,провулок,Солом'янський
Яворівський,провулок,Деснянський
Яворницького Дмитра,вулиця,Святошинський
Ягідна,вулиця,Голосіївський
Ягідний,провулок,Голосіївський
Яготинська,вулиця,Печерський
Якова Щоголева,провулок,Дарницький
Якуба Коласа,вулиця,Святошинський
Якубовских Родини,провулок,Голосіївський
Якубовського Маршала,вулиця,Голосіївський
Якутська,вулиця,Святошинський
Ялинкова,вулиця,Дарницький
Ялинковий,провулок,Дарницький
Ялинковий,провулок,Дарницький
Ялтинська,вулиця,Дарницький
Ямська,вулиця,Голосіївський
Яна Василя,вулиця,Голосіївський
Яна Райніса,вулиця,Солом'янський
Янгеля Академіка,вулиця,Солом'янський
Янки Купали,вулиця,Солом'янський
Янтарна,вулиця,Святошинський
Януша Корчака,вулиця,Шевченківський
Ярмоли Віктора,вулиця,Шевченківський
Яровий,провулок,Солом'янський
Ярослави Стецько,вулиця,Деснянський
Ярославів Вал,вулиця,Шевченківський
Ярославська,вулиця,Подільський
Ярославський,провулок,Подільський
Ясеневий,провулок,Печерський
Ясинуватський,провулок,Голосіївський
Яслинська,вулиця,Солом'янський
Ясна,вулиця,Солом'янський
Ясний,провулок,Солом'янський
Ясногірська,вулиця,Шевченківський
Яснополянська,вулиця,Святошинський
